Issue ID,Source,Factual problem,Classification,Disposition,Cutover blocker,Affected components,Required guarantee,Acceptance evidence,Phase,Status,Dependencies
OPS-007,ops-issues.md Done: writer-fence artifact observation,Filesystem identity evidence for planned/deployed writer fences is implemented.,Verified implementation,retain,Yes,Writer-fence models/validation; release/cutover control; operations evidence; tests,The exact deployed bytes and complete writer inventory are mechanically bound before activation/burn.,Current writer-fence tests and production-shaped fence rehearsal pass; replacement report preserves digests.,2,Complete,Control-plane merge STR-014.
OPS-008,ops-issues.md Done/Partial: typed readiness evidence,"Typed readiness validation against a supplied inventory exists, but production writers for the typed inventory/evidence/completion are absent.",Incomplete schema,merge,No,Readiness models; validation; release CLI; tests,Only canonical required probes executed by the deployed artifact can satisfy readiness.,Replacement production report is generated and validated without direct DB fixtures; old layers are removed.,2,Blocked,STR-013 and OPS-026.
OPS-009,ops-issues.md Done: post-burn admission prerequisites,Post-burn prerequisite records and guards exist.,Verified implementation,retain,Yes,Cutover/admission models; migrations `0028`/`0029`; tests,General admission cannot open before verified first request and required irreversible prerequisites.,Native state-transition tests remain green or prove equivalent replacement gate.,2,Complete,Minimal admission model.
OPS-010,ops-issues.md Done: source semantic-proposal lifecycle,The source Asana/SQLite semantic-proposal and review lifecycle is implemented.,Verified implementation,retain,Yes,Legacy semantic proposal/review code; service/CLI/OpenAPI; tests,Approved asynchronous Human Review semantics remain the behavioral oracle for target implementation.,Source lifecycle suite stays green and target parity tests cover the same transitions/evidence.,3,Complete,CUT-001.
OPS-011,ops-issues.md Done: test breakup/changed-path infra,Changed-path ownership and lane-selection infrastructure exists.,Verified implementation,retain,No,`test_selection`; planner/validator; testing docs/tests,Scoped testing selects all affected authority/integration lanes and preserves first-attempt evidence.,Planner validation and its unit tests pass after new documentation paths are classified or explicitly justified.,1,Complete,STR-007 may simplify structural policy only.
OPS-012,ops-issues.md Done: PGlite/native lane infra,Governed PGlite and native PostgreSQL lane infrastructure exists.,Verified implementation,retain,Yes,PGlite runner; native certification script/inventory; testing docs; reports,PGlite remains non-certifying; native PostgreSQL is required for locking/trigger/server guarantees.,Lane metadata and reports preserve scope; native certification executes exact required inventory.,4,Complete,Native infrastructure/DSN still required at acceptance.
OPS-013,ops-issues.md Done: legacy writer inventory enumeration,"The confirmed legacy writer set is service, `dish`, and `dish-admin`; no other repository writer was found.",Verified implementation,retain,Yes,Legacy service/CLI/admin; writer-fence scripts/docs,Every actual legacy writer is fenced before PG activation.,Fresh repository and host process inventory matches the canonical set or produces an approved revision.,5,Complete,Reconfirm host-local writers immediately before cutover.
OPS-014,ops-issues.md Done: legacy writer inventory enforcement,Exact set-equality writer-fence enforcement is implemented and threaded through cutover transitions.,Verified implementation,retain,Yes,`release_validation.py`; `cutover_control.py`; release script; tests,"Missing, extra, duplicate, or blank writer targets fail closed.",Release-cutover tests and production-shaped writer-fence rehearsal pass.,5,Complete,STR-014 migration must preserve enforcement.
OPS-015,ops-issues.md Done: writer-fence planned/deployed binding,Prepared writer-fence manifests are bound to deployed on-disk bytes by SHA-256.,Verified implementation,retain,Yes,`legacy_writer_fence.py`; cutover validation; tests,No stale or substituted fence artifact can authorize a cutover transition.,Digest mismatch and idempotent re-entry tests pass; report digest is stored on replacement cutover record.,5,Complete,Writer-fence report design.
OPS-016,ops-issues.md Done: rollback-burn quiescence,`burn_rollback()` reruns candidate evaluation before the irreversible transition.,Verified implementation,retain,Yes,`cutover_control.py`; migration `0029`; rollback-burn tests,"Rollback burn uses fresh quiescence/evidence, not stale prior approval.",Regression mutates a gate after approval and burn fails; unchanged evidence succeeds.,5,Complete,Preserve in new cutover record transition.
OPS-017,ops-issues.md Done: first-request admission reopening,General mutation admission now opens only through `verify_first_admission()`.,Verified implementation,retain,Yes,`cutover_control.py`; admission/reservation guards; tests,Reservation consumption alone cannot open general admission.,Direct state/consumption tests fail closed; verified first request is the only successful path.,5,Complete,STR-015 replacement gate.
OPS-018,ops-issues.md Done: generation-bound candidate FKs,"Migration `0029` binds candidate import batch, shadow baseline, and projection epoch to the candidate generation.",Verified implementation,retain,Yes,Migration `0029`; candidate models; populated migration tests,Candidate evidence cannot mix generations.,Native populated migration and FK-negative tests pass; replacement record enforces equivalent lineage.,2,Complete,Schema squash must retain constraints.
OPS-019,ops-issues.md Done: release candidate initial-state guard,Migration `0029` rejects illegal release-candidate initial states.,Verified implementation,retain,No,Migration trigger; native/PGlite tests,Rows enter only an approved initial transition state.,Direct SQL negative tests pass on native PostgreSQL and replacement schema.,2,Complete,Native test harness issue OPS-025.
OPS-020,ops-issues.md Done: admission-control/reservation initial-state guards,Migration `0029` rejects illegal admission-control and first-request reservation initial states.,Verified implementation,retain,Yes,Migration triggers; native/PGlite tests,Admission cannot be fabricated open and reservations cannot start consumed/invalid.,Direct SQL negative tests pass on native PostgreSQL with correct transaction reset.,2,Complete,OPS-025 test harness correction.
OPS-021,ops-issues.md Done: migration 0028 missing-control fail-open,Migration `0029` closes the missing admission-control fail-open path.,Verified implementation,retain,Yes,Migration triggers; workflow admission; tests,No service request is admitted without explicit verified control state.,Direct insert/admission tests fail when control is missing and pass only after legal transition.,2,Complete,Schema squash must retain guard.
OPS-022,ops-issues.md Done: Stage A treatment/baseline evidence,"The governed baseline records six exact source-only commands and its source hashes, but therefore is not cutover-ready.",Verification item,retain,Yes,Stage A baseline JSON/generator/tests; acceptance report,Baseline remains truthful about command treatment and immutable source identity.,Baseline check passes and readiness fails until every source-only command has approved target treatment.,1,Complete,CUT-001; TEST-001.
OPS-023,ops-issues.md Provisionally done: whole-source import hash/count checking,Whole-source import hash/count checking is only a prior claim and was not independently verified in the supplied snapshot.,Verification item,verify,Yes,Legacy source capture; import batch; bootstrap/importer; release validation; tests,Complete source bundle and entity count are independently bound and mismatch fails closed.,"Direct code trace plus production-shaped import mutation tests prove hash/count enforcement at capture, import, and release gate.",1,Investigating,Final import/report design.
OPS-024,ops-issues.md Confirmed open: shadow-baseline capture vs close/disqualify race,"Baseline capture and close/disqualify paths do not consistently serialize the same baseline row, allowing a concurrent terminal transition race.",Runtime gap,fix,No,`dish_pg/transition.py` shadow baseline capture/close/disqualify; native concurrency tests,No envelope can be accepted into a baseline after closure/disqualification wins.,Native two-transaction race has one legal winner and no terminal baseline gains late qualifying evidence.,4,Not started,Dark-launch transition design; not required for schema reduction unless touched.
OPS-025,ops-issues.md Confirmed open: native initial-state test failure,`test_native_initial_state_insert_guards_reject_direct_sql` leaves the psycopg connection in a failed transaction after an expected exception and the second assertion errors.,Test defect,fix,No,`tests/postgresql/native/test_first_request_reservation_single_gate.py`; native lane harness,Direct SQL guard tests independently exercise each forbidden insert without masking product behavior.,Test explicitly rolls back/uses separate transactions; governed native lane passes all required nodes.,1,Not started,Native PostgreSQL DSN.
OPS-026,ops-issues.md Partial: canonical readiness inventory,Probe kinds and contract versions are caller-supplied; no server-owned canonical readiness registry/report schema exists.,Deferred feature,defer,No,Typed readiness models/validation; release CLI; target rehearsal report,"When readiness is decisive, required probes are canonical and cannot be omitted by a caller.","Before any gate relies decisively on readiness, code-owned report schema rejects missing/unknown probes; otherwise record explicit non-blocking deferral.",6,Ready,Decision already classifies as later hardening unless burn/admission depends on it.
OPS-027,ops-issues.md Partial: post-burn admission manifest,Approval-time candidate manifest is not revalidated against all post-burn-only inputs.,Runtime gap,merge,No,Candidate manifest; rollback burn; first-admission/admission transitions; cutover record,Irreversible/post-burn admission uses current exact evidence and configuration.,Replacement cutover snapshot revision binds post-burn inputs and stale approval fails before first request/open.,2,Not started,Immutable cutover record design.
OPS-028,ops-issues.md Partial: sealed per-entity source-import manifest,"Row-level source verification exists, but no single persisted sealed per-entity digest manifest/report exists.",Cutover gap,merge,Yes,Import evidence/native links; final import/reconciliation report,"Every expected entity has exactly one source hash and canonical target binding, with no unknown/missing/duplicate entity.",One immutable report enumerates all entities and passes independent recomputation during cutover.,3,Not started,Target import report and STR-012.
OPS-029,ops-issues.md claimed projection dispatch kill switch; direct current inspection,The prior claim that `begin_attempt()` omitted an effect-switch recheck is stale: current code locks the epoch path and checks active generation plus `external_effects_enabled` before dispatch.,Verified implementation,retain,Yes,`dish_pg/transition.py` `claim_next`/`begin_attempt`; native projection lifecycle tests,Disabling external effects after claim but before dispatch prevents the external attempt.,Native race test toggles the switch between claim and begin and dispatch fails.,4,Complete,Preserve shared/exclusive epoch lock ordering.
OPS-030,ops-issues.md claimed epoch retirement serialization; direct current inspection,"The prior claim is stale in current code: event insertion takes a shared epoch lock and retirement an exclusive lock, then locks unsettled events/attempts.",Verified implementation,retain,No,`ProjectionService._active_epoch_for_generation`; `retire_epoch`; native epoch lifecycle tests,Retirement serializes against insertion/dispatch/settlement and supersedes all nonterminal work.,Native insertion/dispatch/settlement races have one legal outcome and no event remains actionable in a retired epoch.,4,Complete,Keep native concurrency inventory.
OPS-031,ops-issues.md claimed shadow-delivery settlement; direct current inspection,"The prior claim is stale: current settlement checks state, token, owner, revision, and unexpired claim, then uses a CAS update.",Verified implementation,retain,No,`transition._assert_delivery_claim`; `_settle_delivery_cas`; shadow worker/tests,Only the current unexpired lease owner/revision can settle a shadow delivery.,Stale owner/token/revision/expiry and concurrent settlement tests fail closed.,4,Complete,Preserve settlement CAS if schema changes.
OPS-032,ops-issues.md claimed planning-challenge settlement not single-winner,Current PG settlement mutates a loaded issued challenge without an independently confirmed row lock/CAS test; the legacy path has separate process locking. Single-winner behavior remains unproved.,Verification item,verify,No,PG `workflow.settle_planning_challenge`; command port; legacy challenge DB/service; concurrency tests,Only one request can claim/consume/settle a challenge and terminal state cannot be overwritten.,"Native and legacy concurrent settlement tests prove one winner, deterministic replay, and no last-writer overwrite.",1,Investigating,Authorization-leakage gate CUT-012.
OPS-033,ops-issues.md claimed source-import concurrency; direct current inspection,"`record_entity()` reads the batch without a row lock and increments `imported_entities` in memory, so concurrent distinct inserts can lose counter increments.",Runtime gap,fix,No,`dish_pg/transition.py` `record_entity`; import batch/evidence; native tests,Imported count equals committed distinct evidence rows and never exceeds expected count under concurrency.,Native concurrent insert test proves exact count and bound; implementation uses row lock/atomic count or derives count.,3,Not started,May be eliminated by sealed one-shot report design.
OPS-034,ops-issues.md claimed inspect read-model parity; direct command/instruction inspection,"Internal `verify`/continuation terminology and public `inspect` legal-action behavior are not yet proven consistent across read model, nested continuations, OpenAPI, and instructions.",Verification item,verify,No,Legacy/PG read models; inspect handlers; allowed actions; nested continuation; GPT instructions/tests,External clients see only approved public actions and identical retained continuation semantics.,Cross-surface snapshots after each verification transition match approved actions and contain no internal `verify` action.,1,Investigating,LIVE-001 and OPS-049.
